서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 치료중,서울시 퇴원,서울시 추가 퇴원,서울시 사망,전국 기준일,전국 확진,전국 추가 확진,전국 치료중,전국 퇴원,전국 사망
2021-04-28 00:00:00,37385,259,2728,34212,145,445,2021-04-28 00:00:00,120673,775,8604,110248,1821
2021-04-27 00:00:00,37126,116,2614,34067,261,445,2021-04-27 00:00:00,119898,512,8383,109695,1820
2021-04-26 00:00:00,37010,154,2759,33806,34,445,2021-04-26 00:00:00,119387,500,8720,108850,1817
2021-04-25 00:00:00,36856,175,2640,33772,272,444,2021-04-25 00:00:00,118887,644,8599,108475,1813
2021-04-24 00:00:00,36681,253,2737,33500,271,444,2021-04-24 00:00:00,118243,785,8650,107781,1812
2021-04-23 00:00:00,36428,204,2755,33229,167,444,2021-04-23 00:00:00,117458,797,8576,107071,1811
2021-04-22 00:00:00,36224,230,2719,33062,171,443,2021-04-22 00:00:00,116661,735,8394,106459,1808
2021-04-21 00:00:00,35994,218,2660,32891,248,443,2021-04-21 00:00:00,115926,731,8243,105877,1806
2021-04-20 00:00:00,35776,148,2690,32643,180,443,2021-04-20 00:00:00,115195,549,8166,105227,1802
2021-04-19 00:00:00,35628,137,2722,32463,86,443,2021-04-19 00:00:00,114646,532,8371,104474,1801
2021-04-18 00:00:00,35492,205,2672,32377,77,443,2021-04-18 00:00:00,114115,672,8312,104006,1797
2021-04-17 00:00:00,35287,217,2544,32300,147,443,2021-04-17 00:00:00,113444,658,8056,103594,1794
2021-04-16 00:00:00,35070,216,2475,32153,228,442,2021-04-16 00:00:00,112789,673,7937,103062,1790
2021-04-15 00:00:00,34855,217,2490,31925,192,440,2021-04-15 00:00:00,112117,698,7816,102513,1788
2021-04-14 00:00:00,34638,247,2467,31733,249,438,2021-04-14 00:00:00,111419,731,7654,101983,1782
2021-04-13 00:00:00,34391,158,2470,31484,179,437,2021-04-13 00:00:00,110688,542,7581,101332,1775
2021-04-12 00:00:00,34233,162,2493,31305,49,435,2021-04-12 00:00:00,110146,587,7572,100804,1770
2021-04-11 00:00:00,34071,214,2381,31256,473,434,2021-04-11 00:00:00,109559,614,7682,100109,1768
2021-04-10 00:00:00,33857,201,2640,30783,132,434,2021-04-10 00:00:00,108945,677,7879,99301,1765
2021-04-09 00:00:00,33656,215,2571,30651,110,434,2021-04-09 00:00:00,108269,671,7719,98786,1764
2021-04-08 00:00:00,33441,244,2469,30541,111,431,2021-04-08 00:00:00,107598,700,7480,98360,1758
2021-04-07 00:00:00,33197,198,2336,30430,127,431,2021-04-07 00:00:00,106898,668,7214,97928,1756
2021-04-06 00:00:00,32999,147,2267,30303,131,429,2021-04-06 00:00:00,106230,478,7115,97363,1752
2021-04-05 00:00:00,32852,152,2251,30172,71,429,2021-04-05 00:00:00,105752,473,7104,96900,1748
2021-04-04 00:00:00,32700,149,2170,30101,125,429,2021-04-04 00:00:00,105279,543,6946,96589,1744
2021-04-03 00:00:00,32551,155,2148,29976,78,427,2021-04-03 00:00:00,104736,543,6800,96196,1740
